質問,回答
Natsuki<U62e97a05d0bb23e9af02a2b69d6cf891>: 正しい使い方,
愛理<U4811662e1db9047a1f9665f8cda16f26>: 注文について,
misato<Ub9ccae8638c0e9d16ff95cb2e796b333>: 注文について,
もえ<Uab0c36a17d5ee16f49a5fe3ef70d3c24>: 正しい使い方,
みすず<U0210bd29208bcb2cc3870316799ca45b>: 注文について,
まこ<U4ca2cf0ec5f66a40698c98f0ac69e4f8>: 正しい使い方,
香代子<Ucb41d211905cee0243788d4fb1a3a1d7>: 注文について,
hiromi mineshima<U7aabb01fc1999262b9e97b9cb53f9cce>: 注文について,
良美<Ufe0a725a4386c55e6ca8559a3756048c>: 注文について,
ゆうか<U47147a887bc90c9c8daa8388f0060863>: 正しい使い方,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、誠にありがとうございます。
 

 つるりんちょ。は、まずシャンプーからご購入くださったのですね。
 ありがとうございます。
 

 「つるりんちょ。」は、「シャンプー」に高い補修効果があります。
 つるりんちょ。シャンプーによって、トリートメントが吸着するための土台をつくりますので、他社様のトリートメントの場合も、つるりんちょ。トリートメントと同様の方法でのご使用がおすすめです。
 

 ◆トリートメント
 水気を切らずに、髪が水分をたっぷりと含んだ状態で、中間～毛先に少量をなじませる。
 なじませたら時間を置かずにすぐにすすぎ洗いを行う。
 

 

 つるりんちょ。の使い方は、動画を見ていただくとわかりやすいかと思いますので、ぜひ、参考にでご覧ください。
 

 【開発者推薦】つるりんちょ。がイマイチ!?開発者からのお願いで。正しい使い方解説!!
 https://www.youtube.com/watch?v=VIDCE6u5W2g
 ※音量にご注意ください
 

 

 また、つるりんちょ。の効果をより実感していただくため、洗髪後はしっかりと髪を乾かすことも大切です。
 こちらもぜひ意識してみていただけましたら幸いです。
 

 ◆乾かす
 根元からしっかりと乾かします。
 いつもよりも長めに乾かすこと、温風と冷風を交互にあてることも日々のケアとして効果的です。
 

 仕上げに冷風を当てるとキューティクルが整い、つや感がアップします。
 ※冷風を当てて髪が冷たく感じる場合は、まだ乾ききっていないサインです。
 

 

 つるりんちょ。がゆうかさまに合いますように願っています。"
真＊→結花♪<U896fe911796af8fdc1bfbe8f90915327>: 注文について,
わっこ<Ubfd2cd64fd5301b1df473349c24d1231>: 注文について,
JUNKO<U61035350d10a7d2d2d5056947c59ca1a>: 注文について,
Sana☆♪<U4d82f40e213b194257bb3988c14b2812>: 注文について,
じゅんこ<U96ef4b21732cc3f13eb5584f155db10e>: 注文について,
廣瀬恵<Ud34bc34bf5d5475e504fdfefeffbad7d>: 注文について,
良美<Ufe0a725a4386c55e6ca8559a3756048c>: エラーになってしまう,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせいただき、誠にありがとうございます。
 

 「エラーになる」とのことですが、恐れ入ります、どのような操作をされた際に、どのようなエラーが表示されたか、もう少し詳しくお教えいただけますでしょうか？
 

 差し支えなければ、
 ・エラーが発生した画面や操作内容（例：ログイン、カートに追加、注文確定、問い合わせ送信など）
 ・表示されたエラーメッセージ（スクリーンショットがあれば大変助かります）
 ・ご利用の端末（スマートフォン／パソコン）やブラウザの種類
 

 などをお知らせいただけますと、よりスムーズに原因を特定し、解決に向けて対応できます。
 

 お手数をおかけいたしますが、何卒よろしくお願いいたします。"
𝐩𝐨𝐩𝐮𝐫𝐚<U5feeefc3fec7a12db404457880269622>: 注文について,
彩希<U02d9e9001e1b0a3e323d623e97fee8e3>: 注文について,
まさみ<U83761f96dd8f800ef27c921e5ada9aa2>: 注文について,
綾花<U4ea1f15c8ad2a18350946430708b847c>: 正しい使い方,
ちとせ<Ua9b7195fbcbe038d1fe0b96f0011b287>: 住所の不備で、そちらに商品が戻ってしまいました。申し訳ないですが、再度送っていただくことは可能でしょうか。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): この度は、お問い合わせをいただきありがとうございます。
 教えていただいた情報でご登録・ご注文状況を確認いたしました。
  
 ご注文（注文番号 b791a09082）につきまして あて所が不明のため弊社へ返送されてきておりました。
 あいにく再送は承っておりません。
  
 そのためご注文はキャンセル手続きならびに、クレジットカード決済のキャンセル手続きをさせていただきました。
 ※カードの締め日によってはいったんお引き落としとなり翌月か翌々月にカード会社様よりご返金となる場合がございます。あらかじめご了承くださいませ。
  
 改めてご希望をいただけます場合には、マイページへログイン後、お届け先をご確認のうえ、新しくご注文をいただけますと幸いです。
 https://shop.kaminidoramawo.jp/
  
 ご注文は発送が完了いたしましたらメールにてその旨をご連絡させていただきます。
 お受け取りのほどなにとぞよろしくお願いいたします。"
りな<Uc04d8ebfa7ede191424ff0add3d35cfa>: 注文について,
Tomomi☺︎<U54c65b3214ea84136d8a438db883ad99>: 正しい使い方,
♡ちぃ♡<U801deaf8795a212b91c12e49e54afdea>: 使い方を見る,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): このたびは「つるりんちょ。」製品を初めてご使用いただき、誠にありがとうございます。
 洗い上がりがキシキシとし、滑らかさのなさを感じられたとのこと、ご不安なお気持ちにさせてしまい申し訳ございません。
 

 ご使用いただいたのは、つるりんちょ。シャンプーと、つるりんちょ。トリートメント（通常タイプ）でしょうか？
 

 また、キシキシとして滑らかさのなさを感じられたのは、トリートメントを流し終えた後でしょうか？"
a<U686603aaa30c8ca9a342dd44f5093389>: 注文について,
Yuko.m<Uf30da8847d5ed77017b311b5736a5db8>: 正しい使い方,
結名<Ufd35a7d93fe26d0f612a3d24a1ac2a9a>: 注文について,
Na<Uba00713debcd0f96f6263bfbb0c798d6>: 注文について,
mariko.m<U836b186b13355523f010181b52fd95b9>: 注文について,
"村岡大也: 注文番号：【425398-20250525-0506443428】
 カテゴリー：返品・交換・キャンセルについて
 内容：キャンセルの理由：
 間違って購入したのでキャンセルお願いします
 数日後に再度正式に購入します","【公式】髪にドラマを。楽天市場店: お問い合わせをいただき、誠にありがとうございます。
  
 ご注文画面でチェックをしていただきました通り、あいにくご注文完了後のキャンセルを承ることが出来かねます。
 ご希望に添えず申し訳ございません。
  
 商品は予定通り、発送の手続きを進めさせていただきます。
 発送が完了いたしましたらメールにてご連絡をさせていただきます。
 お受け取りのほど、よろしくお願いいたします。
 

 

 ご不要の場合には、未開封商品の返品を承ります。
 商品お受け取り後に、送料をご負担のうえ、1週間以内に下記までご返送くださいませ。
 

 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-4703-3600
 

 商品の到着を確認後、ご注文のキャンセル・返金手続きを行わせていただきます。
 どうぞよろしくお願いいたします。"
さやか<Uf492a4d7b0595892eade55ef80290fbd>: 注文について,
Shihori<U82696ee0db61d54ee7e6fbc7d9414455>: 注文について,
おか（すず）<U296ce515f471edbc7b039826507e3d73>: 正しい使い方,
高橋加奈枝<U45961b335eb23b4aa5c6777481d3fa96>: 注文について,
あきえ<U47c13ce67ed8efc6d0cf14c48ebf9b4e>: 正しい使い方,
深井 李子<Ud35a68de3d0d022cdeba46c34fe54bbe>: 注文について,
棚田 花澄<Ua34a2e3e5def40103a993f5f8c584898>: 注文について,
Yaeko F<Ub149a10f4556dd434e35e378b347c4b7>: 正しい使い方,
🐈‍⬛🎀<U8ce8ffa32edd6a90083dd91a2645633c>: 注文について,
佐々木ちさと<U32b62b60a811fcf0da482243e65daf98>: 注文について,
優穂<U401a7e1709ce0e2c80ce7960cacc0f5b>: 正しい使い方,
ゆりか<U68273a25fac88b7c573a83e9f66636b5>: 注文について,
えみ<Uc3cfb243662d1a6511c9503c4d902c58>: 注文について,
乃碧<U6b1881ef303d8f90676e79524a999a3f>: メッセージの送信を取り消しました,
えみ<Uc3cfb243662d1a6511c9503c4d902c58>: 注文について,
はるな<U8249a1538b8c139cc7d01abba59ce0e3>: 注文について,
ayano<U0b2a3dbf6f656c76cc4ee7fe2e6b56c9>: 注文について,
とも。<U77a8d544b44597549870122aa76b854a>: 注文について,
関口みほ<U90d4e8ccef34abe9484277b63c4da074>: 注文について,
Natsuki Nakamura<U0909e536ae5937da65f69c6ea8cbf431>: 正しい使い方,
ななみ<U96964197988a4917772464ea28e91f39>: 注文について,
賀子<U84217500f2c258d8d6f83a6f8e56efb1>: 注文について,
まなみ<U97df6e41d87f9cbbaa0924d23554db9c>: 正しい使い方,
松浦八重子<U827e6e220cd727162d29e3a7d90887b2>: 注文について,
ともみ<Ue51958ebe98ae5643cec32ee3e25e9f6>: 注文について,
紅音<Ua1df9b0caa3ce8cf4523de01b9cc248f>: 注文について,
ありさ<Uf03011634d7cb9918599677b45121deb>: 注文について,
mika<Ua4ddc43a517cd0a02f026e6b47c22101>: 注文について,
iwamoto masumi<U9bb8727242ce66907c787790abf393cb>: 注文について,
みのり<Uc7579f2524214f590afbc371d5220625>: 注文について,
宮崎 涼子<U8112448fc8fee7f763b63a7aacf9cce7>: 注文について,
Yu<Ua70f445aac66fbcdd4a1b01db7f8af4e>: 注文について,
"中野淳子: 注文番号：【425398-20250526-0404843647】
 カテゴリー：返品・交換・キャンセルについて
 内容：キャンセルの理由：間違えて購入した","【公式】髪にドラマを。楽天市場店: お問い合わせをいただき、誠にありがとうございます。
  
 ご注文画面でチェックをしていただきました通り、あいにくご注文完了後のキャンセルを承ることが出来かねます。
 ご希望に添えず申し訳ございません。
  
 商品は予定通り、発送の手続きを進めさせていただきます。
 発送が完了いたしましたらメールにてご連絡をさせていただきます。
 お受け取りのほど、よろしくお願いいたします。
 

 

 ご不要の場合には、未開封商品の返品を承ります。
 商品お受け取り後に、送料をご負担のうえ、1週間以内に下記までご返送くださいませ。
 

 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-4703-3600
 

 商品の到着を確認後、ご注文のキャンセル・返金手続きを行わせていただきます。
 どうぞよろしくお願いいたします。"
鞘<Ue53e1cd954c344d9f6d3c85e4266dadf>: 正しい使い方,
いおり<U97db8864b307a2ea9c15a07f29705874>: キャンセル,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): このたびは、「キャンセル」についてお問い合わせくださいまして、ありがとうございます。
 よろしければ、ご用件をお聞かせいただけますか？"
Yuko.m<Uf30da8847d5ed77017b311b5736a5db8>: 注文について,
A.K<U4e22f58c0a1370e76d391ea1fa324315>: 注文について,
ゆみ<U916f068eec2b1a7d225d9409c5eb6e02>: 注文について,
"おくたに<Uabbab451e2cfbde3fa087338b338400b>: 何度商品レビュー書いても、
 レビュー投稿できませんでしたと表示されたしまいます🥺","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): いつも「髪にドラマを。」をご愛用いただき、誠にありがとうございます。
 

 ご丁寧にレビューを書いてくださったにも関わらず、「レビュー投稿できませんでした」と表示されてしまったとのこと、ご不便をおかけしてしまい大変申し訳ございません。
 せっかくお声を届けていただこうとしていたお気持ちを思うと、心苦しく感じております。
 

 恐れ入りますが、投稿をお試しいただいたのは、
 公式オンラインショップ／楽天市場／Amazonなど、どちらのサイトでしょうか？
 状況を確認のうえ、適切なご案内をさせていただきたく思います。
 

 お手数をおかけしてしまい恐縮ですが、どうぞよろしくお願いいたします。"
那音<Ue5add4e67a863b1c9265c54b869d1bf3>: 注文について,
𝓐𝔂𝓪.𝓼<U96631d9d749152dbf531f5491e4f3bb1>: 注文について,
知念 風花 (米丸)<Ubc5edd282f13223031ffc1fbbf1e9a2b>: キャンセル,
"おくたに<Uabbab451e2cfbde3fa087338b338400b>: メールに届いた文章の中に
 レビューはこちらってボタンを押してそこから入りました！","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 公式サイトにレビューをご投稿しようとしてくださったとのこと、本当にありがとうございます。
 何度もお試しいただいたのに、うまくいかずご不便をおかけしてしまい申し訳ございません。
 

 恐れ入りますが、ログイン状態になっているかどうかを、念のためもう一度ご確認いただき、再度お試しいただけますでしょうか？
 

 もしそれでも投稿できない場合は、状況を詳しく確認させていただきますので、どうぞお気軽にご連絡くださいませ。"
Tsu<Uf7b2fcebfb9ee4cb8e1ff0b94a6eb2b0>: 注文について,
ゆか<U8454c9911e11f0192a4287f87be50a56>: 注文について,
いおり<U97db8864b307a2ea9c15a07f29705874>: すみません！送信間違いです🙇‍♀️,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご丁寧にありがとうございます😊
 承知いたしました！また何かございましたら、いつでもお気軽にご連絡くださいませ。
 

 今後とも「髪にドラマを。」をよろしくお願いいたします。"
Ayu<Ud3d17b6a982540966987b7e29e6ab77c>: 正しい使い方,
Re<U3cf3ba9df7d64d6be8884db22aa9363d>: 注文について,
みずき<Ua011fae8846e515456c2010118ac10a7>: 注文について,
優奈<U729d6c6c7a298d34c377461670ef7f8b>: 注文について,
"八谷麻代: 注文番号：【425398-20250526-0604843622】
 カテゴリー：返品・交換・キャンセルについて
 内容：キャンセルの理由：間違えて注文したため、可能でしたらキャンセルさせてください。","【公式】髪にドラマを。楽天市場店: お問い合わせをいただき、誠にありがとうございます。
  
 ご注文画面でチェックをしていただきました通り、あいにくご注文完了後のキャンセルを承ることが出来かねます。
 ご希望に添えず申し訳ございません。
  
 商品は予定通り、発送の手続きを進めさせていただきます。
 発送が完了いたしましたらメールにてご連絡をさせていただきます。
 お受け取りのほど、よろしくお願いいたします。
 

 

 ご不要の場合には、未開封商品の返品を承ります。
 商品お受け取り後に、送料をご負担のうえ、1週間以内に下記までご返送くださいませ。
 

 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-4703-3600
 

 商品の到着を確認後、ご注文のキャンセル・返金手続きを行わせていただきます。
 どうぞよろしくお願いいたします。"
里村七華<U62f05e064fb448bb33ca4ea42be1cedc>: 注文について,
"７<Ueac75d52a103797623283ec7f211c92f>: 川端彩香
 09020304452
 eba4831f20
 de3d67e084","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいまして、誠にありがとうございます。
 ご登録・ご注文を確認させていただきました。
 

 ご注文番号：eba4831f20（PayPay）
 ご注文番号：de3d67e084（Amazon Pay）
 

 ２つのご注文はどちらも5月25日に発送となり、本日5月26日09:40頃にお届けが完了となりました。
 

 あいにく、キャンセルを承ることが出来かねます。
 ご希望に添えず申し訳ございません。
 

 ご注文番号：eba4831f20（PayPay）のご注文についてご不要の場合は、未開封商品の返品を承ります。
  
 お手元の商品は下記まで、送料をご負担のうえ、1週間以内にご返送くださいませ。
  
 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-4703-3600
  
 返送品が到着いたしましたら、ご注文のキャンセル・返金手続きを行わせていただきます。
 ご確認とご手配のほど、よろしくお願いいたします。"
ひなこ<Uc0ff3057a94449df5f2e9bee96a8141a>: 注文について,
ℛ𝒾𝓈𝒶<Udfe763120fa3e0708e58844220eaab61>: 注文について,
☆ YUKO ☆<Uafee9e2bec2b94905ec6b56701b8eae3>: 正しい使い方,
なる<U1487b082c920355aeba40a5905cf9e9b>: 正しい使い方,
髙浪 萌衣<Uc0248ed3610d2679c7e417b78dc6ed8f>: 正しい使い方,
コケ<U37e04faac2a03b2b618de68af2b31a5e>: 注文について,
コケ<U37e04faac2a03b2b618de68af2b31a5e>: 注文について,
お－たき じゅんこ<U79f512dcbf860acafa5d659479224043>: 注文について,
なつ<Ud035ed8c3715a7ab8a63a8c3ce33cdcc>: 注文について,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご登録ができないとのこと、ご不便をおかけしております。
 

 髪にドラマを。公式オンラインショップでの「新規会員登録」が完了しないということでお間違いないでしょうか？
 

 念のため、ご登録状況をお調べいたします。
 恐れ入りますが、ご登録の以下の情報をお教えください。
  
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
  
 また、もしもエラーメッセージのスクリーンショットなどを取っておられましたら共有いただけましたら幸いです。
 何卒よろしくお願い申し上げます。"
Re<U3cf3ba9df7d64d6be8884db22aa9363d>: 正しい使い方,
７<Ueac75d52a103797623283ec7f211c92f>: 返送せず使うことも可能ですか？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お忙しいところ、ご連絡くださいましてありがとうございます。
 

 もちろんでございます。
 ご購入いただいた商品でございますので、そのままご使用いただいて差し支えございません。
 

 ぜひ、ご使用くださいませ。
 

 改めまして、このたびは、ご注文時にご不便をおかけし、誠に申し訳ございませんでした。
 またなにかございましたら、ご連絡くださいませ。"
コケ<U37e04faac2a03b2b618de68af2b31a5e>: 注文について,
🌴麻樹🌴<U70fec632a63adb94abfee36e05fb6adf>: 注文について,
"ももこ<Uccdfb4e04c54a6d4e75a2479d4a5e0ac>: 岡林桃子
 08059911250
 

 です。
 よろしくお願いいたします。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 ご登録を確認させていただきました。
 

 ご質問いただきましたご請求につきまして、ももこさまのご認識の通りでございます。
 お支払い（クレジットカードのご請求）も、商品が発送されるタイミング（＝60日に1回）で発生いたします。
 

 なお、お引き落とし日はご利用のカード会社ごとに異なりますため、詳細はカード会社のご利用明細等をご確認いただけますと幸いです。
 

 その他ご不明な点などございましたら、どうぞお気軽にお問い合わせください。
 どうぞよろしくお願いいたします。"
"♡ちぃ♡<U801deaf8795a212b91c12e49e54afdea>: 通常タイプと思うのですが、2種類あるのですか？
 シャンプーは泡立ちます。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お試しセットは、トリートメントが2種類入りとなっております。
 パッケージに「SARARITO」と記載のあるほうが軽い仕上げり、記載のないほうがしっとりの通常タイプです。
 https://shop.kaminidoramawo.jp/shop/products/kdr050"
eriko.<Ua20f4150f43abeb8c598d6364aa49345>: 正しい使い方,
コケ<U37e04faac2a03b2b618de68af2b31a5e>: 注文について,
ももこ<Uccdfb4e04c54a6d4e75a2479d4a5e0ac>: ありがとうございます。,
p<Ufef8532e562abb544ea1471fde4e17e1>: ご丁寧にありがとうございます。また何かあれば、その際はどうぞ宜しくお願いいたします。,
おくたに<Uabbab451e2cfbde3fa087338b338400b>: ログインしたら投稿できました。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご丁寧にご報告をいただきまして、ありがとうございます。
 無事にご投稿いただけたとのことで、何よりでございます。
 

 投稿いただいたお声、嬉しく拝読させていただきました。
 今後も美髪を保っていただけるよう、スタッフ一同、心を込めて製品づくりに励むとともに、よりよいサービスをお届けできるよう努めてまいります。
 

 引き続き「髪にドラマを。」をよろしくお願いいたします。"
ゆうき<U589986406495e56b79853065dcccad41>: 注文について,
NISHIMURA HYUNJUNG<U52b6d12e708676e029a5bbef6c421ebd>: 正しい使い方,
"Ⓨ<Ubb665aaae6133cac4361eeeecf7d5d7e>: こんばんは。
 クーポン利用し購入しようと思ったのですが、10%割引されず購入画面へ進みます。
 定期で購入しようとしております。どうしたら10%引かれた金額になりますでしょうか？","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、誠にありがとうございます。
  
 ご注文の手続きを進めていただく途中で、＜クーポン利用＞とコードを入力する項目が出てまいります。
 そちらにお持ちのクーポンコードをご入力いただきましたでしょうか？
 

 ご入力いただきましたら、次のページ「ご注文内容のご確認」にて、「割引」適用後の金額をご確認いただけます。
  
 お手数をおかけいたしますが、再度、お試しくださいませ。
 どうぞよろしくお願いいたします。"
"ゆうか<U47147a887bc90c9c8daa8388f0060863>: お返事いただきありがとうございます！
 ではトリートメントはシャンプーの後に塗り、時間を置かずに流すようにします。
 動画もありがとうございます！拝見させていただきます。
 乾かしのポイントもありがとうございます！実践します！
 

 実はトリートメントもずっと気になっており、先日購入させていただいたので、トリートメントが届くのを楽しみにしています☺️
 

 お忙しい中、ご丁寧にお返事いただき嬉しいです。ありがとうございました！","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいまして、誠にありがとうございます。
 

 「つるりんちょ。」トリートメントもご購入くださったのですね。
 ありがとうございます。
 

 セットでお使いいただくことで、髪の凸凹を補うというつるりんちょ本来の効果を得られるのでおすすめです◎
 

 お持ちのトリートメントもお使いいただきながら、ゆうかさまに合ったヘアケアを見つけていただけると嬉しいです。
 

 これからつるりんちょ。でのヘアケアを実践いただき、ご不明な点等ございましたら、またいつでもご相談くださいませ。
 今後ともどうぞよろしくお願いいたします。"
𝑅𝐼<Ue58dcb97cba56127b31c422b866302dc>: 注文について,
kei<Ub6d39111aa22cb5ab9975b7544d2c531>: 正しい使い方,
黒<U5134b176d2bb8b4cc919dbc75b051b67>: 注文について,
rinrin ❤︎<Uf65f0c2a3ae3d921be113c82a5a4c083>: 注文について,
えみ❤️<U7792ef84670cf7e8a837fada9750a39b>: 注文について,
まりん<Ue68f65e1e6c7687e2bd65a6dac81a223>: 注文の住所を間違えてしまいました。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 注文についてお問い合わせをいただきありがとうございます。
  
 ご注文状況をお調べいたします。
 恐れ入りますが、ご登録の以下の情報をお教えください。
  
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
 ・ご注文番号
 

 また、正しいご住所をお知らせください。
  
 どうぞよろしくお願いいたします。"
な<U7b5f3b794234092da964ab3f91086c76>: 注文について,
チヒロ<U6f83398561e41be6251f8b55ab741315>: 正しい使い方,
ʚ ℳ ɞ<U94774e244dbf8e12d4420b880dd93e89>: 注文について,
コケ<U37e04faac2a03b2b618de68af2b31a5e>: 注文について,
"Kaho<U43aa48af81b2fab768bf92696e50c6f2>: お世話になっております。
 御社のアウトバス製品の組み合わせについて質問です。
 

 

 現在、つるりんちょシャンプー、トリートメント、オイルを使用しています。
 昨年11月末に使用し始めてから胸下までのロングヘアでもサラサラぷるぷるで、
 自分で言うのもなんですが自分の髪の毛が大好きでした。
 

 

 先週、10年ぶりに美容院でカラーをしました。
 髪の毛のダメージになると覚悟はしていましたが、ブリーチハイライト+全頭カラーをしたところ
 手触りがキシキシになってしまいました。(添付画像のような、毛先だけ波打っている髪も増えました)
 

 久しぶりのカラーでイメチェンできたことは嬉しいですが、ぷるぷるの髪の毛が失われてしまったことがかなりショックで
 1週間経った今、カラーしたことを少し後悔しています…。
 

 

 寝起きは中間からの広がりや毛先が絡まり、
 日中に手ぐしをするとキシキシ感や引っかかり、
 入浴時に水に濡らすとキシキシして髪の毛の真ん中から引っかかったり、
 乾かした後も以前に比べて広がりが気になります。
 

 つるりんちょのおかげで、以前は毛先までするんと引っかかることがなかったので、
 カラー後の手触りが悪いことや手ぐしで引っかかることが
 余計気になってしまい、今の状態がかなりストレスです…
 

 

 現在は、
 つるりんちょシャンプー
 または
 SOMARCAのカラーシャンプーを3日に1回
 ↓
 つるりんちょトリートメント
 ↓
 イルカのせなかオイル
 ↓
 アンジェリーヘア プロテクトセラム 
 ↓
 ドライヤー
 という流れです。
 

 

 カラー前は1週間に1〜2回コテ(150度)で巻いていましたが、
 今はパサつきとこれ以上のダメージが怖くて巻けません…🥶
 

 全体の引っかかりやパサつき感、毛先の広がりをどうにかしたく、ミストかミルクの購入を検討しているのですが、
 今の髪の状態にはどの製品を使用すればよいかご教示いただけますでしょうか。
 

 

 また、ビューティーガーデンカロン名古屋店様で御社の製品を取り扱っていました。
 オンライン価格の半額ほどで販売されていたのでサロン価格かと存じますが、
 こちらは正規品ということでお間違いないでしょうか？
 

 何卒、よろしくお願いいたします。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): いつも「つるりんちょ。シャンプー・トリートメント」および「いるかのせなか。オイル」をご愛用いただき、誠にありがとうございます。
 

 10年ぶりのカラーで髪の手触りがキシキシになってしまったとのこと、拝見したお写真からも髪の変化が伝わってまいりました。
 イメージチェンジができた喜びがある一方で、これまで大切に育ててこられた髪だからこそ、ショックも大きかったのではないかとお察しいたします。
 ご相談くださり、ありがとうございます。
 

 今回のような「ブリーチハイライト＋全体カラー」は、見た目の印象が大きく変わる施術である一方で、髪への負担も大きく、特にブリーチを伴う施術後は髪がとてもデリケートな状態になります。
 

 弊社専属の美容師に確認したところ、ご希望の仕上がりに応じて、以下のようなアウトバスケアの組み合わせをおすすめさせてきます。
 

 ■仕上がり：サラサラ
 タオルドライ後に、いるかのせなか。ミスト → オイル
 

 ■仕上がり：しっとり
 タオルドライ後に、いるかのせなか。ミルク → オイル
 

 ■ダメージ集中ケア
 タオルドライ後に、いるかのせなか。泡フォーム → ミルク → オイル
 

 

 ブリーチ後の髪は、
 ・髪の水分保持力が低下し、乾燥しやすくなる
 ・髪の強度が弱まり、切れ毛やパサつきが起きやすくなる
 ・キューティクルが開いて外部ダメージを受けやすくなる
 

 といった状態に陥りやすいため、内部補修に特化した「泡フォーム」をプラスするケアがおすすめです。
 髪の内側から水分と栄養を補い、しなやかさと強さを育むサポートをしてくれます。
 

 

 また、「引っかかりが気になる」とのことでしたので、洗髪時には以下の方法をお試しください。
 

 【シャンプー時】
 つるりんちょ。シャンプーで泡パックをした後、すすぎ洗いをする前に、目の粗いコームやブラシを使って軽くコーミングしてください。
 

 【トリートメント時】
 シャンプー後、水分を含んだ髪の中間〜毛先にトリートメントをなじませ、同じくコーミングをしてから洗い流してください。
 なじませた後は、時間を空けずにすすぐことがポイントです。
 

 【タオルドライ時】
 濡れた髪はとても繊細ですので、ゴシゴシ拭くのではなく、タオルをやさしく髪にあてて、水分を吸い取るようにしてください。
 

 【アウトバス使用方法】
 例えば、泡フォーム → ミルク → オイル の3ステップでケアされる場合は、それぞれのアイテムを1つずつなじませてから次を使う、という順番でご使用ください。
 

 ・泡フォーム → よくなじませる
 ・ミルク → よくなじませる
 ・オイル → よくなじませる
 

 指通りに不安がある場合は、手櫛よりも目の粗いコームやブラシを使ってなじませていただくとよいかと思います。
 Kaho様の髪の状態に合った方法で、無理のないよう優しくケアしていただければ幸いです。
 

 【ドライヤー時】
 ドライヤーの前は、コーミング後、絡まりのない状態にしてください。
 

 ブリーチをしている髪は乾きにくく、自然乾燥ではダメージの原因になることもございます。
 根元からしっかりとドライヤーで乾かし、髪の表面には上から風をあてるようにすると、広がりを抑えることができます。
 

 最後に冷風をあてていただくと、キューティクルが整い、つや感がアップします。
 冷風を当てた際に髪が冷たく感じる場合は、まだ乾ききっていない可能性がありますので、再度温風でしっかり乾かした後、最後に冷風をあててください。
 

 

 ご不明点などがございましたら、いつでもお気軽にお声がけくださいませ。
 今後もKaho様の大切な髪に寄り添えるケアをお届けできるよう、スタッフ一同努めてまいります。"
Rie Oko<U9ed46b845f70a7289d4bf36b3c2b5c1b>: 注文について,
島﨑亜希子<U8580098f0c5e31f7da4749a4baa4c437>: 正しい使い方,
Aya<Ua557c331558e2dd6ba3c95ac73c19fa9>: 問い合わせ,
ayaka＊<Ua081e9ec1affdc616f85cbf79951b2ac>: 注文について,
tomoe<Uebaefeecb9066e200784a06f67f8e6d8>: 使い方を見る,
Akemi💜<U05581213883a9b1c55d0dc096110905d>: 注文について,
植木真澄<U1fc765e889c4e84ac9a150881d95d8a7>: 正しい使い方,
石井鮎美<U94dff14de3998f743ebd68137d2f02e3>: 退会希望,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): このたびは退会希望のご連絡をいただきありがとうございます。
  
 ご登録を確認し、退会手続きを行わせていただきます。
 つきましては、髪にドラマを。公式オンラインショップにご登録の以下情報をお教えくださいませ。
  
 ・登録氏名
 ・登録電話番号
 ・メールアドレス"
atsuko<Uc3eec81c67c33f6e78afaf0d874bc1e8>: 注文について,
